"Year","Company.x","vineyard","Treatment","Rep","Cultivar","Treatment Age","LeafN","LeafP","LeafK","LeafCa","LeafMg","LeafS","LeafB","LeafCu","LeafFe","LeafMn","LeafZn","LeafNa","PetN","PetP","PetK","PetCa","PetMg","PetS","PetB","PetCu","PetFe","PetMn","PetZn","PetNa","TSS","pH","TA","ammoniaN","aaN","YAN","K","yield_kg_m","Yield 2","Yield/PW","ids","Company.y","Vineyard","farm_lat","farm_lon","gridNumber","dist","rain_01","rain_02","rain_03","rain_04","rain_05","rain_06","rain_07","rain_08","rain_09","rain_10","rain_11","rain_12","temperature_01","temperature_02","temperature_03","temperature_04","temperature_05","temperature_06","temperature_07","temperature_08","temperature_09","temperature_10","temperature_11","temperature_12","rain","temperature","rain_sqrd","temp_sqrd","tempgrow","tempaugsep","raingrow","rainaugsep","tempgrowing","tempsepoc","raingrowing","rainsepoct","trend"
2013,"AtoZ",7134,"1cls",1,"PN",2,2.58,0.22,1.61,2.45,0.29,0.41,36,8,215,274,19,0.01,0.629,0.2,3.67,1.75,0.6,0.12,27,5,86,487,80,0.04,21.4,3.48,6.2,50,116,157,1820,1.08595800524934,0.7297226,2.48125937031484,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"AtoZ",7134,"1cls",2,"PN",2,2.52,0.2,1.42,2.63,0.26,0.48,32,8,199,289,16,0.01,0.61,0.17,4.2,1.75,0.46,0.1,28,4,98,379,79,0.04,23,3.53,5.6,56,130,176,1720,0.934711286089239,0.62809054,2.61376146788991,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"AtoZ",7134,"1cls",3,"PN",2,2.28,0.21,1.62,2.7,0.28,0.38,29,7,218,225,16,0.02,0.619,0.19,4.19,1.81,0.47,0.12,28,5,114,329,69,0.06,22.6,3.57,5.2,37,106,136,1780,1.13090551181102,0.75992562,3.2214953271028,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"AtoZ",7134,"2cls",1,"PN",2,2.41,0.19,1.31,2.37,0.27,0.35,30,9,175,228,20,0.01,0.57,0.18,3.5,1.75,0.61,0.12,28,5,69,589,71,0.04,22.4,3.62,5.3,29,98,122,1840,1.500656167979,1.00838404,4.12072072072072,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"AtoZ",7134,"2cls",2,"PN",2,2.37,0.19,1.46,2.13,0.25,0.33,28,7,151,218,17,0.01,0.591,0.18,4.17,1.82,0.5,0.11,27,8,76,360,87,0.05,21.8,3.5,5.7,38,109,140,1630,1.70997375328084,1.14903752,5.81696428571429,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"AtoZ",7134,"2cls",3,"PN",2,2.47,0.18,1.43,2.51,0.27,0.35,27,6,197,230,20,0.02,0.587,0.15,3.9,1.91,0.5,0.11,27,5,65,336,86,0.05,21.9,3.54,5.8,45,132,169,1650,1.39632545931759,0.93827776,3.83078307830783,7134,"AtoZ","JacobHart",45.341228,-123.018828,153193,1.71250188036991,1.19209678103817,1.67582144960761,2.07358062690905,1.87870000574039,4.15690322749076,1.19946665291985,0,0.59980645775795,6.80796665300926,0.932032265279803,2.92790000314514,1.29787097044379,2.41083873519974,6.06376782219325,8.41240326771813,10.8942499538263,13.9466612685111,16.7502666711807,20.2821129522016,20.3668387628371,17.2463332732518,11.2191451836017,7.36391667037581,1.73151612786516,2.224982180314,15.8150868664872,4.95054570271485,250.116972594536,15.4683227114299,18.8065860180445,7.23506988615101,7.73999891828906,16.4480259217114,14.2327392284268,7.83487634390896,7.73999891828906,1
2013,"Adelsheim",8070,"1cls",1,"PN",1,2.09,0.15,1.32,1.78,0.36,0.16,24,6,181,291,69,0.01,0.523,0.14,2.72,1.34,0.88,0.07,24,5,47,629,107,0.01,19.8,3.42,5.6,28,65,88,1440,1.11942257217848,0.75220952,1.31534309946029,8070,"Adelsheim","RibbonSprings",45.370369,-123.0697,151786,1.1821701062524,1.00683872113305,1.80821430410392,2.00274194650833,1.88406663583592,4.02461292474501,1.14183333317439,0,0.59974193110341,7.06169992436965,0.974451623552839,2.88259998038411,1.21267741258376,2.05229034527175,5.7828571345391,8.19583874646454,10.6666333119075,13.6926612469458,16.5325500011444,19.9997096523162,20.1895806404852,17.1728332837423,11.0116129969397,7.09574996158481,1.3916613120105,2.2409151961116,15.6093687333544,5.0217009161639,243.652392253823,15.2228885530785,18.6812069621137,7.05051289375531,8.03615154792249,16.2162269705598,14.092223140341,7.65025482485872,8.03615154792249,1
2013,"Adelsheim",8070,"1cls",2,"PN",1,1.98,0.15,1.29,1.66,0.35,0.16,22,6,155,330,43,0.01,0.506,0.12,3.02,1.33,0.93,0.08,24,16,51,760,102,0.01,20.2,3.39,6.2,42,83,118,1410,1.16232866724993,0.781040788888889,1.47738856454453,8070,"Adelsheim","RibbonSprings",45.370369,-123.0697,151786,1.1821701062524,1.00683872113305,1.80821430410392,2.00274194650833,1.88406663583592,4.02461292474501,1.14183333317439,0,0.59974193110341,7.06169992436965,0.974451623552839,2.88259998038411,1.21267741258376,2.05229034527175,5.7828571345391,8.19583874646454,10.6666333119075,13.6926612469458,16.5325500011444,19.9997096523162,20.1895806404852,17.1728332837423,11.0116129969397,7.09574996158481,1.3916613120105,2.2409151961116,15.6093687333544,5.0217009161639,243.652392253823,15.2228885530785,18.6812069621137,7.05051289375531,8.03615154792249,16.2162269705598,14.092223140341,7.65025482485872,8.03615154792249,1
2013,"Adelsheim",8070,"1cls",3,"PN",1,1.8,0.13,0.81,1.64,0.52,0.15,21,5,131,346,53,0.01,0.516,0.09,0.75,1.28,1.4,0.08,22,4,46,783,78,0.01,21.7,3.38,5,21,88,105,1180,1.32152230971129,0.88801288,2.33371958285052,8070,"Adelsheim","RibbonSprings",45.370369,-123.0697,151786,1.1821701062524,1.00683872113305,1.80821430410392,2.00274194650833,1.88406663583592,4.02461292474501,1.14183333317439,0,0.59974193110341,7.06169992436965,0.974451623552839,2.88259998038411,1.21267741258376,2.05229034527175,5.7828571345391,8.19583874646454,10.6666333119075,13.6926612469458,16.5325500011444,19.9997096523162,20.1895806404852,17.1728332837423,11.0116129969397,7.09574996158481,1.3916613120105,2.2409151961116,15.6093687333544,5.0217009161639,243.652392253823,15.2228885530785,18.6812069621137,7.05051289375531,8.03615154792249,16.2162269705598,14.092223140341,7.65025482485872,8.03615154792249,1
2013,"Adelsheim",8070,"NoThin",1,"PN",1,1.86,0.14,1.28,1.7,0.3,0.16,21,7,134,254,72,0.01,0.454,0.1,2.64,1.39,0.84,0.08,24,5,44,549,96,0.01,19.7,3.36,6,30,64,89,1410,1.95209973753281,1.311737,3.23369565217391,8070,"Adelsheim","RibbonSprings",45.370369,-123.0697,151786,1.1821701062524,1.00683872113305,1.80821430410392,2.00274194650833,1.88406663583592,4.02461292474501,1.14183333317439,0,0.59974193110341,7.06169992436965,0.974451623552839,2.88259998038411,1.21267741258376,2.05229034527175,5.7828571345391,8.19583874646454,10.6666333119075,13.6926612469458,16.5325500011444,19.9997096523162,20.1895806404852,17.1728332837423,11.0116129969397,7.09574996158481,1.3916613120105,2.2409151961116,15.6093687333544,5.0217009161639,243.652392253823,15.2228885530785,18.6812069621137,7.05051289375531,8.03615154792249,16.2162269705598,14.092223140341,7.65025482485872,8.03615154792249,1
